site_key,name,country,category,inscription_year,unesco_url
butrint,Butrint,ALB,Cultural,1992,https://whc.unesco.org/en/list/570
al_qal_a_of_beni_hammad,Al Qal'a of Beni Hammad,DZA,Cultural,1980,https://whc.unesco.org/en/list/102
m_zab_valley,M'Zab Valley,DZA,Cultural,1982,https://whc.unesco.org/en/list/188
kasbah_of_algiers,Kasbah of Algiers,DZA,Cultural,1992,https://whc.unesco.org/en/list/565
timgad,Timgad,DZA,Cultural,1982,https://whc.unesco.org/en/list/194
mbanza_kongo_vestiges_of_the_capital_of_the_former_kingdom_of_kongo,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",AGO,Cultural,2017,https://whc.unesco.org/en/list/1511
esma_museum_and_site_of_memory_former_clandestine_centre_of_detention_torture_and_extermination,"ESMA Museum and Site of Memory – Former Clandestine Centre of Detention, Torture and Extermination",ARG,Cultural,2023,https://whc.unesco.org/en/list/1681
ischigualasto_talampaya_natural_parks,Ischigualasto / Talampaya Natural Parks,ARG,Natural,2000,https://whc.unesco.org/en/list/966
cueva_de_las_manos_rio_pinturas,"Cueva de las Manos, Río Pinturas",ARG,Cultural,1999,https://whc.unesco.org/en/list/936
iguazu_national_park,Iguazu National Park,ARG,Natural,1984,https://whc.unesco.org/en/list/303
monasteries_of_haghpat_and_sanahin,Monasteries of Haghpat and Sanahin,ARM,Cultural,1996,https://whc.unesco.org/en/list/777
greater_blue_mountains_area,Greater Blue Mountains Area,AUS,Natural,2000,https://whc.unesco.org/en/list/917
monastery_of_geghard_and_the_upper_azat_valley,Monastery of Geghard and the Upper Azat Valley,ARM,Cultural,2000,https://whc.unesco.org/en/list/960
australian_fossil_mammal_sites_riversleigh_naracoorte,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),AUS,Natural,1994,https://whc.unesco.org/en/list/698
australian_convict_sites,Australian Convict Sites,AUS,Cultural,2010,https://whc.unesco.org/en/list/1306
kakadu_national_park,Kakadu National Park,AUS,Mixed,1981,https://whc.unesco.org/en/list/147
great_barrier_reef,Great Barrier Reef,AUS,Natural,1981,https://whc.unesco.org/en/list/154
paraty_and_ilha_grande_culture_and_biodiversity,Paraty and Ilha Grande – Culture and Biodiversity,BRA,Mixed,2019,https://whc.unesco.org/en/list/1308
ningaloo_coast,Ningaloo Coast,AUS,Natural,2011,https://whc.unesco.org/en/list/1369
lord_howe_island_group,Lord Howe Island Group,AUS,Natural,1982,https://whc.unesco.org/en/list/186
shark_bay_western_australia,"Shark Bay, Western Australia",AUS,Natural,1991,https://whc.unesco.org/en/list/578
sydney_opera_house,Sydney Opera House,AUS,Cultural,2007,https://whc.unesco.org/en/list/166
royal_exhibition_building_and_carlton_gardens,Royal Exhibition Building and Carlton Gardens,AUS,Cultural,2004,https://whc.unesco.org/en/list/1131
wet_tropics_of_queensland,Wet Tropics of Queensland,AUS,Natural,1988,https://whc.unesco.org/en/list/486
prehistoric_pile_dwellings_around_the_alps,Prehistoric Pile Dwellings around the Alps,ITA,Cultural,2011,https://whc.unesco.org/en/list/1363
wachau_cultural_landscape,Wachau Cultural Landscape,AUT,Cultural,2000,https://whc.unesco.org/en/list/970
cultural_landscape_of_khinalig_people_and_koc_yolu_transhumance_route,Cultural Landscape of Khinalig People and “Köç Yolu” Transhumance Route,AZE,Cultural,2023,https://whc.unesco.org/en/list/1696
pearling_testimony_of_an_island_economy,"Pearling, Testimony of an Island Economy",BHR,Cultural,2012,https://whc.unesco.org/en/list/1364
historic_centre_of_sheki_with_the_khans_palace,Historic Centre of Sheki with the Khan’s Palace,AZE,Cultural,2019,https://whc.unesco.org/en/list/1549
fujian_em_tulou_em,Fujian <em>Tulou</em>,CHN,Cultural,2008,https://whc.unesco.org/en/list/1113
walled_city_of_baku_with_the_shirvanshah_s_palace_and_maiden_tower,Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,AZE,Cultural,2000,https://whc.unesco.org/en/list/958
the_sundarbans,The Sundarbans,BGD,Natural,1997,https://whc.unesco.org/en/list/798
qalat_al_bahrain_ancient_harbour_and_capital_of_dilmun,Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,BHR,Cultural,2005,https://whc.unesco.org/en/list/1192
belfries_of_belgium_and_france,Belfries of Belgium and France,FRA,Cultural,1999,https://whc.unesco.org/en/list/943
koutammakou_the_land_of_the_batammariba,"Koutammakou, the Land of the Batammariba",TGO,Cultural,2004,https://whc.unesco.org/en/list/1140
neolithic_flint_mines_at_spiennes_mons,Neolithic Flint Mines at Spiennes (Mons),BEL,Cultural,2000,https://whc.unesco.org/en/list/1006
the_four_lifts_on_the_canal_du_centre_and_their_environs_la_louviere_and_le_roeulx_hainaut,"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)",BEL,Cultural,1998,https://whc.unesco.org/en/list/856
stoclet_house,Stoclet House,BEL,Cultural,2009,https://whc.unesco.org/en/list/1298
jesuit_missions_of_the_chiquitos,Jesuit Missions of the Chiquitos,BOL,Cultural,1990,https://whc.unesco.org/en/list/529
mehmed_pasa_sokolovic_bridge_in_visegrad,Mehmed Paša Sokolović Bridge in Višegrad,BIH,Cultural,2007,https://whc.unesco.org/en/list/1260
tsodilo,Tsodilo,BWA,Cultural,2001,https://whc.unesco.org/en/list/1021
vjetrenica_cave_ravno,"Vjetrenica Cave, Ravno",BIH,Natural,2024,https://whc.unesco.org/en/list/1673
brasilia,Brasilia,BRA,Cultural,1987,https://whc.unesco.org/en/list/445
brazilian_atlantic_islands_fernando_de_noronha_and_atol_das_rocas_reserves,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,BRA,Natural,2001,https://whc.unesco.org/en/list/1000
discovery_coast_atlantic_forest_reserves,Discovery Coast Atlantic Forest Reserves,BRA,Natural,1999,https://whc.unesco.org/en/list/892
historic_centre_of_the_town_of_olinda,Historic Centre of the Town of Olinda,BRA,Cultural,1982,https://whc.unesco.org/en/list/189
historic_centre_of_the_town_of_goias,Historic Centre of the Town of Goiás,BRA,Cultural,2001,https://whc.unesco.org/en/list/993
pantanal_conservation_area,Pantanal Conservation Area,BRA,Natural,2000,https://whc.unesco.org/en/list/999
pampulha_modern_ensemble,Pampulha Modern Ensemble,BRA,Cultural,2016,https://whc.unesco.org/en/list/1493
peruacu_river_canyon,Peruaçu River Canyon,BRA,Natural,2025,https://whc.unesco.org/en/list/1747
rio_de_janeiro_carioca_landscapes_between_the_mountain_and_the_sea,Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,BRA,Cultural,2012,https://whc.unesco.org/en/list/1100
valongo_wharf_archaeological_site,Valongo Wharf Archaeological Site,BRA,Cultural,2017,https://whc.unesco.org/en/list/1548
sitio_roberto_burle_marx,Sítio Roberto Burle Marx,BRA,Cultural,2021,https://whc.unesco.org/en/list/1620
pirin_national_park,Pirin National Park,BGR,Natural,1983,https://whc.unesco.org/en/list/225
rila_monastery,Rila Monastery,BGR,Cultural,1983,https://whc.unesco.org/en/list/216
cidade_velha_historic_centre_of_ribeira_grande,"Cidade Velha, Historic Centre of Ribeira Grande",CPV,Cultural,2009,https://whc.unesco.org/en/list/1310
kulangsu_a_historic_international_settlement,"Kulangsu, a Historic International Settlement",CHN,Cultural,2017,https://whc.unesco.org/en/list/1541
koh_ker_archaeological_site_of_ancient_lingapura_or_chok_gargyar,Koh Ker: Archaeological Site of Ancient Lingapura or Chok Gargyar,KHM,Cultural,2023,https://whc.unesco.org/en/list/1667
temple_zone_of_sambor_prei_kuk_archaeological_site_of_ancient_ishanapura,"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",KHM,Cultural,2017,https://whc.unesco.org/en/list/1532
diy_gid_biy_cultural_landscape_of_the_mandara_mountains,Diy-Gid-Biy Cultural Landscape of the Mandara Mountains,CMR,Cultural,2025,https://whc.unesco.org/en/list/1745
gros_morne_national_park,Gros Morne National Park,CAN,Natural,1987,https://whc.unesco.org/en/list/419
dinosaur_provincial_park,Dinosaur Provincial Park,CAN,Natural,1979,https://whc.unesco.org/en/list/71
lanse_aux_meadows_national_historic_site,L’Anse aux Meadows National Historic Site,CAN,Cultural,1978,https://whc.unesco.org/en/list/4
mistaken_point,Mistaken Point,CAN,Natural,2016,https://whc.unesco.org/en/list/1497
nahanni_national_park,Nahanni National Park,CAN,Natural,1978,https://whc.unesco.org/en/list/24
red_bay_basque_whaling_station,Red Bay Basque Whaling Station,CAN,Cultural,2013,https://whc.unesco.org/en/list/1412
pimachiowin_aki,Pimachiowin Aki,CAN,Mixed,2018,https://whc.unesco.org/en/list/1415
trondek_klondike,Tr’ondëk-Klondike,CAN,Cultural,2023,https://whc.unesco.org/en/list/1564
writing_on_stone_aisinaipi,Writing-on-Stone / Áísínai’pi,CAN,Cultural,2019,https://whc.unesco.org/en/list/1597
churches_of_chiloe,Churches of Chiloé,CHL,Cultural,2000,https://whc.unesco.org/en/list/971
sewell_mining_town,Sewell Mining Town,CHL,Cultural,2006,https://whc.unesco.org/en/list/1214
beijing_central_axis_a_building_ensemble_exhibiting_the_ideal_order_of_the_chinese_capital,Beijing Central Axis: A Building Ensemble Exhibiting the Ideal Order of the Chinese Capital,CHN,Cultural,2024,https://whc.unesco.org/en/list/1714
archaeological_ruins_of_liangzhu_city,Archaeological Ruins of Liangzhu City,CHN,Cultural,2019,https://whc.unesco.org/en/list/1592
ancient_villages_in_southern_anhui_xidi_and_hongcun,Ancient Villages in Southern Anhui – Xidi and Hongcun,CHN,Cultural,2000,https://whc.unesco.org/en/list/1002
china_danxia,China Danxia,CHN,Natural,2010,https://whc.unesco.org/en/list/1335
chengjiang_fossil_site,Chengjiang Fossil Site,CHN,Natural,2012,https://whc.unesco.org/en/list/1388
capital_cities_and_tombs_of_the_ancient_koguryo_kingdom,Capital Cities and Tombs of the Ancient Koguryo Kingdom,CHN,Cultural,2004,https://whc.unesco.org/en/list/1135
historic_centre_of_macao,Historic Centre of Macao,CHN,Cultural,2005,https://whc.unesco.org/en/list/1110
historic_monuments_of_dengfeng_in_the_centre_of_heaven_and_earth,Historic Monuments of Dengfeng in “The Centre of Heaven and Earth”,CHN,Cultural,2010,https://whc.unesco.org/en/list/1305
huanglong_scenic_and_historic_interest_area,Huanglong Scenic and Historic Interest Area,CHN,Natural,1992,https://whc.unesco.org/en/list/638
imperial_palaces_of_the_ming_and_qing_dynasties_in_beijing_and_shenyang,Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,CHN,Cultural,1987,https://whc.unesco.org/en/list/439
mausoleum_of_the_first_qin_emperor,Mausoleum of the First Qin Emperor,CHN,Cultural,1987,https://whc.unesco.org/en/list/441
migratory_bird_sanctuaries_along_the_coast_of_yellow_sea_bohai_gulf_of_china,Migratory Bird Sanctuaries along the Coast of Yellow Sea-Bohai Gulf of China,CHN,Natural,2019,https://whc.unesco.org/en/list/1606
lushan_national_park,Lushan National Park,CHN,Cultural,1996,https://whc.unesco.org/en/list/778
mount_huangshan,Mount Huangshan,CHN,Mixed,1990,https://whc.unesco.org/en/list/547
mount_wutai,Mount Wutai,CHN,Cultural,2009,https://whc.unesco.org/en/list/1279
mount_taishan,Mount Taishan,CHN,Mixed,1987,https://whc.unesco.org/en/list/437
peking_man_site_at_zhoukoudian,Peking Man Site at Zhoukoudian,CHN,Cultural,1987,https://whc.unesco.org/en/list/449
south_china_karst,South China Karst,CHN,Natural,2007,https://whc.unesco.org/en/list/1248
quanzhou_emporium_of_the_world_in_song_yuan_china,Quanzhou: Emporium of the World in Song-Yuan China,CHN,Cultural,2021,https://whc.unesco.org/en/list/1561
summer_palace_an_imperial_garden_in_beijing,"Summer Palace, an Imperial Garden in Beijing",CHN,Cultural,1998,https://whc.unesco.org/en/list/880
the_grand_canal,The Grand Canal,CHN,Cultural,2014,https://whc.unesco.org/en/list/1443
temple_of_heaven_an_imperial_sacrificial_altar_in_beijing,Temple of Heaven: an Imperial Sacrificial Altar in Beijing,CHN,Cultural,1998,https://whc.unesco.org/en/list/881
